,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism
sex,"(0.119, 0.113)","(0.095, 0.205)","(-0.005, 0.948)","(0.161, 0.031)","(0.123, 0.1)"
age,"(-0.072, 0.34)","(0.126, 0.095)","(-0.062, 0.414)","(0.045, 0.554)","(-0.075, 0.323)"
